External_Id__c,Status,Parent_Type__c,Type,Description,City__c,Department__c,Division__c,CreatedDate,ClosedDate,Subject,Actual_Parent_Type__c,Actual_Type__c
608424,In Progress,,,"REQUESTING THE REMOVAL OF JUNK, TRASH AND DEBRIS ALSO MOWING OF TALL GRASS AT THIS ADDRESS.",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-04-26T22:50:00Z,,"REQUESTING THE REMOVAL OF JUNK, TRASH AND DEBRIS ALSO MOWING OF TALL GRASS AT THIS ADDRESS.",BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY"
608393,In Progress,,,"ON THE CULDESAC, PLEASE PICKUP!",BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-04-26T08:41:00Z,,"ON THE CULDESAC, PLEASE PICKUP!",GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
640418,In Progress,,,EXPANSION CRACK IS VERY LARGE AND CONTINUING TO WORSEN.  DANGEROUS TO RUNNERS AND BIKERS,BATON ROUGE,MAINTENANCE,STREET MAINTENANCE,2020-08-01T06:10:00Z,,EXPANSION CRACK IS VERY LARGE AND CONTINUING TO WORSEN.  DANGEROUS TO RUNNERS AND BIKERS,ROAD MAINTENANCE ISSUES,CONCRETE ROAD REPAIRS NEEDED
640443,In Progress,,,ADDITIONAL RECYCLING CART REQUESTED,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-01T09:10:00Z,,ADDITIONAL RECYCLING CART REQUESTED,RECYCLING,REQUEST ADDITIONAL RECYCLING CART
640511,In Progress,,,I WOULD LIKE A RECYCLING CART SO THAT I CAN BEGIN RECYCLING.,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-01T16:35:00Z,,I WOULD LIKE A RECYCLING CART SO THAT I CAN BEGIN RECYCLING.,RECYCLING,NEW RESIDENT RECYCLING CART REQUEST
640483,In Progress,,,RECYCLE BIN FOR HOME.,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-01T13:18:00Z,,RECYCLE BIN FOR HOME.,RECYCLING,NEW RESIDENT RECYCLING CART REQUEST
640484,In Progress,,,I AM REQUESTING A RECYCLING CART FOR MY HOME.,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-01T13:25:00Z,,I AM REQUESTING A RECYCLING CART FOR MY HOME.,RECYCLING,NEW RESIDENT RECYCLING CART REQUEST
640454,In Progress,,,CART TAKEN. CART HAS NEVER BEEN REPLACED. PLEASE REPLACE RECYCLING CART.,BATON ROUGE,ENVIRONMENTAL SERVICES,RECYCLING,2020-08-01T10:26:00Z,,CART TAKEN. CART HAS NEVER BEEN REPLACED. PLEASE REPLACE RECYCLING CART.,RECYCLING,STOLEN RECYCLING CART
640486,In Progress,,,GROWTH IN DITCH SO HIGH THAT I CAN NOT SEE ON COMING TRAFFIC,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-01T13:39:00Z,,GROWTH IN DITCH SO HIGH THAT I CAN NOT SEE ON COMING TRAFFIC,MOWING AND TREE ISSUES,REQUEST FOR MOWING
640518,In Progress,,,"RODENTS, OVERGROWN BACK YARD, SMELLS, STANDING WATER AND MOSQUITO PROBLEMS",BATON ROUGE,DEVELOPMENT,BLIGHT ENFORCEMENT,2020-08-01T17:51:00Z,,"RODENTS, OVERGROWN BACK YARD, SMELLS, STANDING WATER AND MOSQUITO PROBLEMS",BLIGHTED PROPERTIES,"JUNK, TRASH, OR DEBRIS ON PRIVATE PROPERTY"
640465,In Progress,,,TRASH AND DEBRIS LOCATED ON THE E BLACK OAK DR SIDE OF THE PROPERTY LOCATED AT THE INTERSECTION OF N SHERWOOD AND E BLACK OAK. HOME IS VACANT AND DEBRIS WAS LEFT IN FRONT OF PROPERTY.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-01T11:45:00Z,,TRASH AND DEBRIS LOCATED ON THE E BLACK OAK DR SIDE OF THE PROPERTY LOCATED AT THE INTERSECTION OF N SHERWOOD AND E BLACK OAK. HOME IS VACANT AND DEBRIS WAS LEFT IN FRONT OF PROPERTY.,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
640529,In Progress,,,"SIZABLE ROCK DEBRIS, POSSIBLY FROM PREVIOUS ROAD CONSTRUCTION, ON THE SHOULDER OF BURBANK DR. IN FRONT OF SEHDEVA MEMORIAL DR. PLEASE CLEAN UP IN A TIMELY MANNER AS IT IS ROAD HAZARD",BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-01T20:32:00Z,,"SIZABLE ROCK DEBRIS, POSSIBLY FROM PREVIOUS ROAD CONSTRUCTION, ON THE SHOULDER OF BURBANK DR. IN FRONT OF SEHDEVA MEMORIAL DR. PLEASE CLEAN UP IN A TIMELY MANNER AS IT IS ROAD HAZARD",GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
640567,In Progress,,,CALLER STATES THAT LARGE TREE LIMBS FROM CITY SERVITUDE FELL INTO  HER BACK YARD. ASKING TO HAVE IT REMOVED.,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-02T15:36:00Z,,CALLER STATES THAT LARGE TREE LIMBS FROM CITY SERVITUDE FELL INTO  HER BACK YARD. ASKING TO HAVE IT REMOVED.,MOWING AND TREE ISSUES,REQUEST REMOVAL/TRIMMING OF TREE
640539,In Progress,,,"INSIDE BACKUP,  WING  F .",BATON ROUGE,ENVIRONMENTAL SERVICES,WW OPERATIONS,2020-08-02T02:39:00Z,,"INSIDE BACKUP,  WING  F .",SEWER/WASTEWATER,INSIDE COMMERCIAL BACKUP
640559,In Progress,,,V/LOT BETWEEN 8127 AND 8191 SKYSAIL HAS TRASH AND DBRIS PILED IN FRONT,BATON ROUGE,MAINTENANCE,LANDSCAPE MAINTENANCE,2020-08-02T11:21:00Z,,V/LOT BETWEEN 8127 AND 8191 SKYSAIL HAS TRASH AND DBRIS PILED IN FRONT,GARBAGE,REQUEST DEBRIS REMOVAL - PUBLIC PROPERTY
